bookid	language	lc_classifications	lccn	ocaid	oclc_numbers	publish_country	year	publish_places	publishers	title	authorbirth	workyear	author	nwords	country	state	author_age	city	lc0	lc1	lc2	aLanguage	authorBirth_year
371154	164420	fre		0	franoisiiroidef00hngoog	3997620		1768		s.n.]	Fran	1685	NULL	Charles-Jean-François Hénault	40792	NULL	NULL	83	NULL	NULL	NULL	NULL	fre	1685
234217	427655	ger		0	3473882	27911145	gw	1895	Wiesbaden	H. L	Lacrimae Christi	1851	NULL	Adalbert Schroeter	38482	Germany	NULL	44	NULL	NULL	NULL	NULL	ger	1851
310063	1118436	eng		0	cihm_04853	0	onc	1882	Ottawa	[s.n.]	Mineral resources of the Dominion of Canada	1832	1882	H. Beaumont Small	NULL	NULL	NULL	50	NULL	NULL	NULL	NULL	eng	1832
681654	712209	hun		0	abelardethikja00ambr	224251097	hu	1909	Budapest	Stephaneum nyomda	Abelard ethik	NULL	NULL	Czakó Lajos Ambró	4876	Hungary	NULL	NULL	NULL	NULL	NULL	NULL	hun	NULL
959761	1342515			0	lyricalballadswi00wordiala	0	nyu	1900	Garden City, N. Y	Doubleday	Lyrical ballads	1770	1798	William Wordsworth	24456	USA	NY	130	NULL	NULL	NULL	NULL	eng	1770
293745	256636	fre	PQ1979 A1 1799	0	oeuvresdediderot01dideuoft	0		1799	Paris	Deterville	Oeuvres de Diderot.	1713	NULL	Denis Diderot	2611	France	NULL	86	NULL	P	PQ	1979	fre	1713
947999	1338135			0	factssuggestions00greerich	0	xx	1866	New York	C. S. Westcott & Co.'s Union Printing Office	Facts and suggestions, biographical, historical, financial and political	1791	1866	Duff Green	138962	USA	NY	75	NULL	NULL	NULL	NULL		1791
688790	774043	fre		0	lapeaudechagr00balz	344605	fr	1900	Paris	Larousse	La peau de chagrin	1799	NULL	Honoré de Balzac	87283	France	NULL	101	NULL	NULL	NULL	NULL	fre	1799
1023652	511653		QB15 B53 1898	0	shorthistoryofas00berruoft	0	|||	1898	London	J. Murray	short history of astronomy.	1862	1898	Arthur Berry	154923	UK	NULL	36	NULL	Q	QB	15	eng	1862
956621	1341333			0	germanorthograph00hempuoft	0	mau	1897	Boston	Ginn	German orthography and phonology	NULL	NULL	Hempl, George.	101039	USA	MA	NULL	NULL	NULL	NULL	NULL	eng	NULL
